Source,CH1,CH2
Second,Volt,Volt
-0.79999995232,3.44000,-0.03200
-0.79995995760,3.44000,-0.03200
-0.79991996288,3.44000,-0.03200
-0.79987996817,3.44000,-0.03200
-0.79983997345,3.44000,-0.02400
-0.79979997873,3.44000,-0.04800
-0.79975998402,3.36000,-0.03200
-0.79971998930,3.36000,-0.03200
-0.79967999458,3.44000,-0.03200
-0.79963999987,3.44000,-0.03200
-0.79960000515,3.44000,-0.03200
-0.79955995083,3.44000,-0.03200
-0.79951995611,3.36000,-0.03200
-0.79947996140,3.44000,-0.03200
-0.79943996668,3.44000,-0.03200
-0.79939997196,3.44000,-0.03200
-0.79935997725,3.36000,-0.04800
-0.79931998253,3.44000,-0.03200
-0.79927998781,3.44000,-0.03200
-0.79923999310,3.44000,-0.04800
-0.79919999838,3.44000,0.00
-0.79916000366,3.44000,-0.04800
-0.79912000895,3.36000,-0.04800
-0.79907995462,3.44000,-0.04800
-0.79903995991,3.36000,-0.04800
-0.79899996519,3.36000,-0.04800
-0.79895997047,3.44000,-0.04800
-0.79891997576,3.36000,-0.04800
-0.79887998104,3.44000,-0.04800
-0.79883998632,3.44000,-0.04800
-0.79879999161,3.44000,-0.04800
-0.79875999689,3.36000,-0.04800
-0.79872000217,3.36000,-0.04800
-0.79868000746,3.36000,-0.04800
-0.79863995314,3.36000,-0.04800
-0.79859995842,3.44000,-0.04800
-0.79855996370,3.36000,-0.04800
-0.79851996899,3.36000,-0.04800
-0.79847997427,3.36000,-0.04800
-0.79843997955,3.44000,-0.07200
-0.79839998484,3.36000,-0.04800
-0.79835999012,3.36000,-0.05600
-0.79831999540,3.36000,-0.04800
-0.79828000069,3.36000,-0.05600
-0.79824000597,3.36000,-0.05600
-0.79819995165,3.36000,-0.04800
-0.79815995693,3.36000,-0.05600
-0.79811996222,3.36000,-0.04800
-0.79807996750,3.36000,-0.05600
-0.79803997278,3.36000,-0.05600
-0.79799997807,0.08000,0.19200
-0.79795998335,0.08000,0.26400
-0.79791998863,0.08000,0.26400
-0.79787999392,0.08000,0.26400
-0.79783999920,0.08000,0.26400
-0.79780000448,0.08000,0.25600
-0.79775995016,0.08000,0.26400
-0.79771995544,0.00,0.26400
-0.79767996073,0.00,0.26400
-0.79763996601,0.00,0.26400
-0.79759997129,0.08000,0.26400
-0.79755997658,0.00,0.26400
-0.79751998186,0.00,0.26400
-0.79747998714,0.08000,0.26400
-0.79743999243,0.08000,0.26400
-0.79739999771,0.08000,0.26400
-0.79736000299,0.00,0.26400
-0.79732000828,0.00,0.26400
-0.79727995396,0.00,0.26400
-0.79723995924,0.00,0.26400
-0.79719996452,0.00,0.29600
-0.79715996981,0.00,0.26400
-0.79711997509,0.00,0.26400
-0.79707998037,0.00,0.26400
-0.79703998566,0.00,0.26400
-0.79699999094,0.00,0.26400
-0.79695999622,0.00,0.25600
-0.79692000151,0.00,0.25600
-0.79688000679,0.00,0.26400
-0.79683995247,0.00,0.26400
-0.79679995775,0.00,0.26400
-0.79675996304,0.00,0.26400
-0.79671996832,0.00,0.27200
-0.79667997360,0.00,0.26400
-0.79663997889,0.00,0.25600
-0.79659998417,0.00,0.25600
-0.79655998945,0.00,0.25600
-0.79651999474,0.00,0.26400
-0.79648000002,0.00,0.25600
-0.79644000530,0.00,0.26400
-0.79639995098,0.00,0.25600
-0.79635995626,0.00,0.26400
-0.79631996155,0.00,0.25600
-0.79627996683,-0.08000,0.25600
-0.79623997211,-0.08000,0.25600
-0.79619997740,-0.08000,0.25600
-0.79615998268,0.00,0.25600
-0.79611998796,0.00,0.25600
-0.79607999325,0.00,0.25600
-0.79603999853,0.00,0.25600
-0.79600000381,0.00,0.25600
-0.79596000910,-0.08000,0.25600
-0.79591995478,-0.08000,0.25600
-0.79587996006,-0.08000,0.25600
-0.79583996534,0.00,0.24800
